# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0741818328  FREE
image003      0.2832140049  FREE
image004      0.8722830082  FREE
image005      1.5297567662  FREE
image006      2.1275063587  FREE
image007      2.5685305423  FREE
image008      2.7847496485  FREE
image009      2.7354430723  FREE
image010      2.4067027156  FREE
image011      1.8113421303  FREE
image012      0.9895718506  FREE
image013      0.0101349613  FREE
image014     -1.0281929062  FREE
image015     -1.9948190971  FREE
image016     -2.7253642115  FREE
image017     -3.0196144482  FREE
