# image  energy(eV)  status
image001      0.0000000000  FIXED
image002     -9.8053201812  FREE
image003    -13.6103769625  FREE
image004    -17.2026784321  FREE
image005    -19.2455906365  FREE
image006    -20.1360865650  FREE
image007    -20.1137288439  FREE
image008    -18.6797492955  FREE
image009    -16.4448891038  FREE
image010    -12.4102772108  FREE
image011     -8.6786972070  FREE
image012     -0.0207894281  FIXED
