# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0310378477  FREE
image003      0.4731808523  FREE
image004      1.1125983640  FREE
image005      1.7836164197  FREE
image006      2.3719591260  FREE
image007      2.7969383190  FREE
image008      3.0053687092  FREE
image009      2.9651686061  FREE
image010      2.6641735117  FREE
image011      2.1096280122  FREE
image012      1.3306575485  FREE
image013      0.3825823481  FREE
image014     -0.6472234040  FREE
image015     -1.6320916166  FREE
image016     -2.3978702792  FREE
image017     -2.7145689941  FREE
