# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -17.3407792076  FREE
image003    -23.2228388943  FREE
image004    -26.3390235289  FREE
image005    -28.4207952543  FREE
image006    -29.9674425614  FREE
image007    -29.5708712942  FREE
image008    -27.0971862326  FREE
image009    -23.5092925917  FREE
image010    -18.9679082639  FREE
image011    -13.1253336001  FREE
image012     -0.0207894281  FIXED
