# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0620371944  FREE
image003      0.3105419656  FREE
image004      0.9096702598  FREE
image005      1.5706873283  FREE
image006      2.1675218782  FREE
image007      2.6060674938  FREE
image008      2.8208895396  FREE
image009      2.7729456403  FREE
image010      2.4487076460  FREE
image011      1.8601831698  FREE
image012      1.0457981526  FREE
image013      0.0719977961  FREE
image014     -0.9645443120  FREE
image015     -1.9341790381  FREE
image016     -2.6710640721  FREE
image017     -2.9695472903  FREE
