# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0663825491  FREE
image003      0.5354923087  FREE
image004      1.1922294057  FREE
image005      1.8668328513  FREE
image006      2.4513465674  FREE
image007      2.8704889238  FREE
image008      3.0760016849  FREE
image009      3.0385558419  FREE
image010      2.7464723075  FREE
image011      2.2053997020  FREE
image012      1.4410573151  FREE
image013      0.5042977842  FREE
image014     -0.5217702484  FREE
image015     -1.5126206884  FREE
image016     -2.2913848355  FREE
image017     -2.6168838874  FREE
