# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0117768179  FREE
image003      0.4402523899  FREE
image004      1.0716410788  FREE
image005      1.7409054491  FREE
image006      2.3311487073  FREE
image007      2.7589735759  FREE
image008      2.9687486806  FREE
image009      2.9270341304  FREE
image010      2.6214140707  FREE
image011      2.0600404763  FREE
image012      1.2738578859  FREE
image013      0.3204340811  FREE
image014     -0.7108856016  FREE
image015     -1.6926784828  FREE
image016     -2.4523912890  FREE
image017     -2.7651860691  FREE
