# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0553250839  FREE
image003      0.5118469929  FREE
image004      1.1577885925  FREE
image005      1.8299217228  FREE
image006      2.4159084951  FREE
image007      2.8378777323  FREE
image008      3.0450695471  FREE
image009      3.0066596570  FREE
image010      2.7107184685  FREE
image011      2.1633992235  FREE
image012      1.3917910207  FREE
image013      0.4488577818  FREE
image014     -0.5798775418  FREE
image015     -1.5681150687  FREE
image016     -2.3396749425  FREE
image017     -2.6597570810  FREE
