# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0107348720  FREE
image003      0.4034673688  FREE
image004      1.0282169206  FREE
image005      1.6962956185  FREE
image006      2.2886716614  FREE
image007      2.7193280452  FREE
image008      2.9302688202  FREE
image009      2.8868107371  FREE
image010      2.5763097682  FREE
image011      2.0080136808  FREE
image012      1.2148546345  FREE
image013      0.2566315322  FREE
image014     -0.7756300270  FREE
image015     -1.7542540244  FREE
image016     -2.5086196521  FREE
image017     -2.8182993516  FREE
