# image  energy(eV)  status
image001      0.0000000000  FIXED
image002     -8.6464431169  FREE
image003    -12.0440859650  FREE
image004    -15.3744589800  FREE
image005    -17.2824713290  FREE
image006    -17.4596505649  FREE
image007    -16.8236486966  FREE
image008    -17.2253047520  FREE
image009    -14.8064103318  FREE
image010    -11.2938920852  FREE
image011     -7.8337843839  FREE
image012     -0.0207894281  FIXED
