# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0034424593  FREE
image003      0.4111759429  FREE
image004      1.0333992486  FREE
image005      1.7002605038  FREE
image006      2.2920501172  FREE
image007      2.7226155440  FREE
image008      2.9338313151  FREE
image009      2.8907859977  FREE
image010      2.5807869044  FREE
image011      2.0127619988  FREE
image012      1.2193427750  FREE
image013      0.2603134351  FREE
image014     -0.7728713524  FREE
image015     -1.7517338141  FREE
image016     -2.5050551013  FREE
image017     -2.8135070649  FREE
