# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0384595656  FREE
image003      0.3468665673  FREE
image004      0.9524280581  FREE
image005      1.6147728894  FREE
image006      2.2097456837  FREE
image007      2.6456923037  FREE
image008      2.8594987233  FREE
image009      2.8133649387  FREE
image010      2.4940139643  FREE
image011      1.9122627794  FREE
image012      1.1044878505  FREE
image013      0.1349884065  FREE
image014     -0.9009785926  FREE
image015     -1.8736838465  FREE
image016     -2.6152553766  FREE
image017     -2.9162796204  FREE
