# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -11.9994420164  FREE
image003    -16.3214498224  FREE
image004    -19.9755485113  FREE
image005    -22.2428358430  FREE
image006    -23.7504872511  FREE
image007    -23.5977921670  FREE
image008    -21.6837314384  FREE
image009    -18.7049346917  FREE
image010    -14.1811363756  FREE
image011    -10.1288356546  FREE
image012     -0.0207894281  FIXED
