# image  energy(eV)  status
image001      0.0000000000  FIXED
image002     -4.6703713109  FREE
image003     -6.3275633002  FREE
image004     -5.3615693822  FREE
image005     -2.8737696594  FREE
image006     -0.2832549624  FREE
image007     -0.1324683458  FREE
image008     -3.0915315871  FREE
image009     -5.8602612750  FREE
image010     -6.3402597194  FREE
image011     -4.7015312596  FREE
image012     -0.0207894281  FIXED
