# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -13.9550348232  FREE
image003    -18.4728703478  FREE
image004    -21.9114394456  FREE
image005    -24.3731142348  FREE
image006    -26.1420566012  FREE
image007    -25.8115317090  FREE
image008    -23.5626239610  FREE
image009    -20.2637349852  FREE
image010    -15.6897392373  FREE
image011    -11.2320571173  FREE
image012     -0.0207894281  FIXED
