# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -10.9357098218  FREE
image003    -15.0567545001  FREE
image004    -18.7529713657  FREE
image005    -20.8702548807  FREE
image006    -22.1016452406  FREE
image007    -21.9577433761  FREE
image008    -20.7585041623  FREE
image009    -17.7172477171  FREE
image010    -13.3358950126  FREE
image011     -9.4690476594  FREE
image012     -0.0207894281  FIXED
