# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0213695075  FREE
image003      0.3786538527  FREE
image004      0.9926343753  FREE
image005      1.6573391974  FREE
image006      2.2507943999  FREE
image007      2.6840893167  FREE
image008      2.8966096892  FREE
image009      2.8520152104  FREE
image010      2.5373288983  FREE
image011      1.9624228641  FREE
image012      1.1618006580  FREE
image013      0.1975100315  FREE
image014     -0.8370790677  FREE
image015     -1.8128485457  FREE
image016     -2.5602552984  FREE
image017     -2.8649655552  FREE
