# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0875699684  FREE
image003      0.2551121731  FREE
image004      0.8345043485  FREE
image005      1.4885909585  FREE
image006      2.0872788064  FREE
image007      2.5307408943  FREE
image008      2.7482894970  FREE
image009      2.6975612171  FREE
image010      2.3642775731  FREE
image011      1.7621149680  FREE
image012      0.9331062763  FREE
image013     -0.0517384760  FREE
image014     -1.0916604747  FREE
image015     -2.0552918974  FREE
image016     -2.7797955977  FREE
image017     -3.0701001561  FREE
