# image  energy(eV)  status
image001      0.0000000000  FIXED
image002      2.3066948971  FREE
image003      9.2177780671  FREE
image004     17.0473354937  FREE
image005     21.8288702843  FREE
image006     23.3587089932  FREE
image007     23.4812636552  FREE
image008     22.0727622320  FREE
image009     17.2394661315  FREE
image010      9.2965481967  FREE
image011      2.3133798255  FREE
image012     -0.0207894281  FIXED
