    0   0.0000   3.9800     0.000000   0.329604
    1   0.0625   4.0001     0.087917   0.309952
    2   0.1250   4.0175     0.570326   0.289414
    3   0.1875   4.0345     1.234620   0.268799
    4   0.2500   4.0510     1.910302   0.248111
    5   0.3125   4.0672     2.492484   0.227374
    6   0.3750   4.0832     2.908557   0.206601
    7   0.4375   4.0991     3.112670   0.185812
    8   0.5000   4.1149     3.076750   0.165018
    9   0.5625   4.1308     2.789325   0.144237
   10   0.6250   4.1469     2.255150   0.123482
   11   0.6875   4.1632     1.498145   0.102765
   12   0.7500   4.1798     0.566897   0.082096
   13   0.8125   4.1968    -0.457542   0.061481
   14   0.8750   4.2141    -1.451521   0.040926
   15   0.9375   4.2319    -2.236607   0.020433
   16   1.0000   4.2500    -2.566223   0.000000
