# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -16.5271629042  FREE
image003    -21.9671879175  FREE
image004    -25.2120521448  FREE
image005    -27.4719739566  FREE
image006    -29.0469805576  FREE
image007    -28.7242593218  FREE
image008    -26.3411083724  FREE
image009    -22.7263110173  FREE
image010    -18.1694402749  FREE
image011    -12.6871020601  FREE
image012     -0.0207894281  FIXED
