# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0282944663  FREE
image003      0.3719667707  FREE
image004      0.9883318289  FREE
image005      1.6542524200  FREE
image006      2.2482482597  FREE
image007      2.6816034955  FREE
image008      2.8938570070  FREE
image009      2.8489042366  FREE
image010      2.5338228712  FREE
image011      1.9587734330  FREE
image012      1.1585089081  FREE
image013      0.1950473613  FREE
image014     -0.8386766271  FREE
image015     -1.8142914833  FREE
image016     -2.5627568878  FREE
image017     -2.8686417441  FREE
