# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0241573000  FREE
image003      0.3755377422  FREE
image004      0.9904901123  FREE
image005      1.6556387308  FREE
image006      2.2493080993  FREE
image007      2.6826337306  FREE
image008      2.8950426478  FREE
image009      2.8502764271  FREE
image010      2.5353708157  FREE
image011      1.9603317003  FREE
image012      1.1597939611  FREE
image013      0.1958191677  FREE
image014     -0.8383946562  FREE
image015     -1.8140584596  FREE
image016     -2.5618780048  FREE
image017     -2.8670802109  FREE
