# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0510109061  FREE
image003      0.5067786171  FREE
image004      1.1540466626  FREE
image005      1.8266055078  FREE
image006      2.4129053937  FREE
image007      2.8349651979  FREE
image008      3.0420336812  FREE
image009      3.0033538091  FREE
image010      2.7069985510  FREE
image011      2.1593091950  FREE
image012      1.3875970990  FREE
image013      0.4449253963  FREE
image014     -0.5833330165  FREE
image015     -1.5713009093  FREE
image016     -2.3432301966  FREE
image017     -2.6638969432  FREE
