# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0153584212  FREE
image003      0.4439325310  FREE
image004      1.0742575477  FREE
image005      1.7430894871  FREE
image006      2.3330959859  FREE
image007      2.7608752441  FREE
image008      2.9707670190  FREE
image009      2.9292546245  FREE
image010      2.6239137245  FREE
image011      2.0627474199  FREE
image012      1.2765407205  FREE
image013      0.3228189830  FREE
image014     -0.7089095342  FREE
image015     -1.6908630293  FREE
image016     -2.4501771898  FREE
image017     -2.7624476105  FREE
