# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0073627997  FREE
image003      0.4356851813  FREE
image004      1.0686194030  FREE
image005      1.7386553175  FREE
image006      2.3292653881  FREE
image007      2.7571477515  FREE
image008      2.9667579101  FREE
image009      2.9248024354  FREE
image010      2.6189001207  FREE
image011      2.0573875869  FREE
image012      1.2713788160  FREE
image013      0.3184441093  FREE
image014     -0.7123264124  FREE
image015     -1.6939831009  FREE
image016     -2.4543258765  FREE
image017     -2.7678585265  FREE
