# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0453766820  FREE
image003      0.3410236237  FREE
image004      0.9488408752  FREE
image005      1.6124062266  FREE
image006      2.2078862595  FREE
image007      2.6438702855  FREE
image008      2.8574178090  FREE
image009      2.8109711783  FREE
image010      2.4913135947  FREE
image011      1.9095245877  FREE
image012      1.1021871185  FREE
image013      0.1335337910  FREE
image014     -0.9016181342  FREE
image015     -1.8742382611  FREE
image016     -2.6168774125  FREE
image017     -2.9190294757  FREE
