# Iter  residual_force  a_values  atom_rms
0000      2.442662  3.9800 3.9969 4.0137 4.0306 4.0475 4.0644 4.0812 4.0981 4.1150 4.1319 4.1487 4.1656 4.1825 4.1994 4.2163 4.2331 4.2500  |  0.3607 0.3381 0.3156 0.2930 0.2705 0.2479 0.2254 0.2029 0.1803 0.1578 0.1352 0.1127 0.0902 0.0676 0.0451 0.0225 0.0000
0001      2.422662  3.9800 3.9971 4.0141 4.0310 4.0478 4.0646 4.0814 4.0982 4.1150 4.1318 4.1486 4.1654 4.1822 4.1991 4.2160 4.2330 4.2500  |  0.3577 0.3354 0.3130 0.2907 0.2683 0.2460 0.2236 0.2012 0.1789 0.1565 0.1341 0.1117 0.0894 0.0670 0.0447 0.0223 0.0000
0002      2.402662  3.9800 3.9973 4.0144 4.0313 4.0482 4.0649 4.0816 4.0983 4.1150 4.1317 4.1484 4.1652 4.1820 4.1988 4.2158 4.2328 4.2500  |  0.3547 0.3326 0.3105 0.2883 0.2662 0.2440 0.2218 0.1996 0.1774 0.1552 0.1330 0.1108 0.0886 0.0664 0.0443 0.0221 0.0000
0003      2.422409  3.9800 3.9971 4.0141 4.0310 4.0478 4.0646 4.0814 4.0982 4.1150 4.1318 4.1486 4.1654 4.1822 4.1991 4.2160 4.2330 4.2500  |  0.3577 0.3354 0.3130 0.2907 0.2683 0.2460 0.2236 0.2012 0.1788 0.1565 0.1341 0.1117 0.0894 0.0670 0.0447 0.0223 0.0000
0004      2.402409  3.9800 3.9974 4.0144 4.0313 4.0482 4.0649 4.0816 4.0983 4.1150 4.1317 4.1484 4.1652 4.1820 4.1989 4.2158 4.2329 4.2500  |  0.3547 0.3327 0.3105 0.2883 0.2662 0.2440 0.2218 0.1996 0.1774 0.1552 0.1330 0.1108 0.0886 0.0664 0.0443 0.0221 0.0000
0005      2.382409  3.9800 3.9975 4.0147 4.0317 4.0485 4.0652 4.0818 4.0984 4.1150 4.1316 4.1482 4.1649 4.1817 4.1986 4.2156 4.2327 4.2500  |  0.3518 0.3299 0.3080 0.2860 0.2640 0.2420 0.2200 0.1979 0.1759 0.1539 0.1318 0.1098 0.0878 0.0658 0.0439 0.0219 0.0000
0006      2.402058  3.9800 3.9974 4.0144 4.0313 4.0482 4.0649 4.0816 4.0983 4.1150 4.1317 4.1484 4.1652 4.1820 4.1989 4.2158 4.2329 4.2500  |  0.3547 0.3326 0.3105 0.2883 0.2661 0.2440 0.2218 0.1996 0.1774 0.1552 0.1330 0.1108 0.0886 0.0664 0.0443 0.0221 0.0000
0007      2.382058  3.9800 3.9976 4.0147 4.0317 4.0485 4.0652 4.0818 4.0984 4.1150 4.1316 4.1482 4.1649 4.1817 4.1986 4.2156 4.2327 4.2500  |  0.3517 0.3299 0.3080 0.2860 0.2640 0.2420 0.2200 0.1979 0.1759 0.1539 0.1318 0.1098 0.0878 0.0658 0.0439 0.0219 0.0000
0008      2.362058  3.9800 3.9978 4.0151 4.0320 4.0488 4.0655 4.0820 4.0985 4.1150 4.1315 4.1480 4.1647 4.1814 4.1983 4.2154 4.2326 4.2500  |  0.3487 0.3272 0.3054 0.2836 0.2618 0.2400 0.2181 0.1963 0.1744 0.1525 0.1307 0.1089 0.0870 0.0652 0.0435 0.0217 0.0000
0009      2.381582  3.9800 3.9977 4.0148 4.0317 4.0485 4.0652 4.0818 4.0984 4.1150 4.1316 4.1482 4.1649 4.1817 4.1986 4.2156 4.2328 4.2500  |  0.3516 0.3299 0.3079 0.2860 0.2640 0.2420 0.2199 0.1979 0.1759 0.1538 0.1318 0.1098 0.0878 0.0658 0.0439 0.0219 0.0000
0010      2.361582  3.9800 3.9979 4.0151 4.0321 4.0488 4.0655 4.0820 4.0985 4.1150 4.1315 4.1480 4.1647 4.1815 4.1984 4.2154 4.2326 4.2500  |  0.3487 0.3272 0.3054 0.2836 0.2618 0.2400 0.2181 0.1963 0.1744 0.1525 0.1307 0.1088 0.0870 0.0652 0.0435 0.0217 0.0000
0011      2.341582  3.9800 3.9981 4.0154 4.0324 4.0492 4.0658 4.0822 4.0986 4.1150 4.1314 4.1479 4.1645 4.1812 4.1981 4.2152 4.2325 4.2500  |  0.3457 0.3244 0.3029 0.2813 0.2596 0.2380 0.2163 0.1946 0.1729 0.1512 0.1295 0.1079 0.0862 0.0646 0.0431 0.0215 0.0000
0012      2.360945  3.9800 3.9980 4.0151 4.0321 4.0488 4.0655 4.0820 4.0985 4.1150 4.1315 4.1480 4.1647 4.1815 4.1984 4.2154 4.2326 4.2500  |  0.3486 0.3271 0.3054 0.2836 0.2618 0.2399 0.2181 0.1962 0.1744 0.1525 0.1307 0.1088 0.0870 0.0652 0.0435 0.0217 0.0000
0013      2.340945  3.9800 3.9982 4.0155 4.0324 4.0492 4.0657 4.0822 4.0986 4.1150 4.1314 4.1479 4.1645 4.1812 4.1981 4.2152 4.2325 4.2500  |  0.3456 0.3244 0.3028 0.2812 0.2596 0.2379 0.2163 0.1946 0.1729 0.1512 0.1295 0.1079 0.0862 0.0646 0.0431 0.0215 0.0000
0014      2.320945  3.9800 3.9985 4.0158 4.0328 4.0495 4.0660 4.0824 4.0987 4.1150 4.1313 4.1477 4.1642 4.1809 4.1978 4.2150 4.2323 4.2500  |  0.3427 0.3217 0.3003 0.2789 0.2574 0.2360 0.2144 0.1929 0.1714 0.1499 0.1284 0.1069 0.0855 0.0640 0.0426 0.0213 0.0000
0015      2.340082  3.9800 3.9983 4.0155 4.0325 4.0492 4.0657 4.0822 4.0986 4.1150 4.1314 4.1479 4.1645 4.1812 4.1981 4.2152 4.2325 4.2500  |  0.3455 0.3243 0.3028 0.2812 0.2595 0.2379 0.2162 0.1945 0.1728 0.1512 0.1295 0.1078 0.0862 0.0646 0.0430 0.0215 0.0000
0016      2.320082  3.9800 3.9985 4.0158 4.0328 4.0495 4.0660 4.0824 4.0987 4.1150 4.1313 4.1477 4.1642 4.1809 4.1978 4.2150 4.2324 4.2500  |  0.3426 0.3216 0.3002 0.2788 0.2574 0.2359 0.2144 0.1929 0.1714 0.1499 0.1284 0.1069 0.0854 0.0640 0.0426 0.0213 0.0000
0017      2.300082  3.9800 3.9988 4.0162 4.0332 4.0499 4.0663 4.0826 4.0988 4.1150 4.1312 4.1475 4.1640 4.1807 4.1976 4.2147 4.2322 4.2500  |  0.3396 0.3189 0.2977 0.2765 0.2552 0.2339 0.2126 0.1912 0.1699 0.1485 0.1272 0.1059 0.0846 0.0634 0.0422 0.0211 0.0000
0018      2.318971  3.9800 3.9986 4.0159 4.0328 4.0495 4.0660 4.0824 4.0987 4.1150 4.1313 4.1477 4.1642 4.1809 4.1979 4.2150 4.2324 4.2500  |  0.3424 0.3215 0.3001 0.2787 0.2573 0.2358 0.2143 0.1928 0.1713 0.1498 0.1283 0.1068 0.0854 0.0640 0.0426 0.0213 0.0000
0019      2.298971  3.9800 3.9989 4.0162 4.0332 4.0499 4.0663 4.0826 4.0988 4.1150 4.1312 4.1475 4.1640 4.1807 4.1976 4.2148 4.2322 4.2500  |  0.3394 0.3188 0.2976 0.2764 0.2551 0.2338 0.2125 0.1912 0.1698 0.1485 0.1272 0.1059 0.0846 0.0634 0.0422 0.0211 0.0000
