# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0412162234  FREE
image003      0.3442459283  FREE
image004      0.9507166378  FREE
image005      1.6135005812  FREE
image006      2.2086639636  FREE
image007      2.6446254187  FREE
image008      2.8583238759  FREE
image009      2.8120447195  FREE
image010      2.4925259922  FREE
image011      1.9107023842  FREE
image012      1.1030569654  FREE
image013      0.1338825678  FREE
image014     -0.9017370991  FREE
image015     -1.8743747287  FREE
image016     -2.6163636769  FREE
image017     -2.9178544928  FREE
