# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0348675452  FREE
image003      0.4773599943  FREE
image004      1.1156075579  FREE
image005      1.7862016185  FREE
image006      2.3742820180  FREE
image007      2.7992009996  FREE
image008      3.0077511330  FREE
image009      2.9677776181  FREE
image010      2.6671100115  FREE
image011      2.1128305294  FREE
image012      1.3338825289  FREE
image013      0.3855225989  FREE
image014     -0.6447175851  FREE
image015     -1.6297873836  FREE
image016     -2.3951778745  FREE
image017     -2.7113285490  FREE
