# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -13.0035433322  FREE
image003    -17.4556129848  FREE
image004    -20.9892652929  FREE
image005    -23.2762188306  FREE
image006    -25.0578318170  FREE
image007    -24.8373270347  FREE
image008    -22.7666630984  FREE
image009    -19.6084197687  FREE
image010    -14.9844218249  FREE
image011    -10.7197843395  FREE
image012     -0.0207894281  FIXED
