# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0066501794  FREE
image003      0.4075330264  FREE
image004      1.0307854328  FREE
image005      1.6980974308  FREE
image006      2.2901271897  FREE
image007      2.7207412086  FREE
image008      2.9318422732  FREE
image009      2.8885970562  FREE
image010      2.5783230803  FREE
image011      2.0100988332  FREE
image012      1.2167134875  FREE
image013      0.2579875860  FREE
image014     -0.7747930249  FREE
image015     -1.7535073743  FREE
image016     -2.5072332083  FREE
image017     -2.8162027659  FREE
