# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0578759540  FREE
image003      0.3135026419  FREE
image004      0.9113393080  FREE
image005      1.5715632421  FREE
image006      2.1680848431  FREE
image007      2.6066115180  FREE
image008      2.8215803020  FREE
image009      2.7737891191  FREE
image010      2.4496616194  FREE
image011      1.8610674251  FREE
image012      1.0463468557  FREE
image013      0.0720190286  FREE
image014     -0.9649730999  FREE
image015     -1.9345998731  FREE
image016     -2.6708312351  FREE
image017     -2.9686707243  FREE
