# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0901766074  FREE
image003      0.2533186537  FREE
image004      0.8334995506  FREE
image005      1.4880376879  FREE
image006      2.0868883886  FREE
image007      2.5303440485  FREE
image008      2.7477927521  FREE
image009      2.6969646817  FREE
image010      2.3636020206  FREE
image011      1.7614731293  FREE
image012      0.9326741968  FREE
image013     -0.0518285185  FREE
image014     -1.0914535024  FREE
image015     -2.0550864801  FREE
image016     -2.7800155272  FREE
image017     -3.0707394640  FREE
