# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0783274890  FREE
image003      0.2804597964  FREE
image004      0.8707725028  FREE
image005      1.5290524931  FREE
image006      2.1271153669  FREE
image007      2.5681570423  FREE
image008      2.7842334117  FREE
image009      2.7347861286  FREE
image010      2.4059582053  FREE
image011      1.8106962661  FREE
image012      0.9892846814  FREE
image013      0.0103808485  FREE
image014     -1.0275118430  FREE
image015     -1.9941675739  FREE
image016     -2.7253693653  FREE
image017     -3.0202484781  FREE
