# image  energy(eV)  status
image001      0.0000000000  FIXED
image002    -14.8353960114  FREE
image003    -19.5777869517  FREE
image004    -22.9683695891  FREE
image005    -25.4501424933  FREE
image006    -27.2182092283  FREE
image007    -27.0097227790  FREE
image008    -24.6642170311  FREE
image009    -21.0959978671  FREE
image010    -16.4709755370  FREE
image011    -11.6970308804  FREE
image012     -0.0207894281  FIXED
