# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0458777387  FREE
image003      0.5017196004  FREE
image004      1.1506619956  FREE
image005      1.8239591277  FREE
image006      2.4106359337  FREE
image007      2.8327593238  FREE
image008      3.0396550728  FREE
image009      3.0007076836  FREE
image010      2.7040177711  FREE
image011      2.1561207697  FREE
image012      1.3845222510  FREE
image013      0.4423182993  FREE
image014     -0.5853584927  FREE
image015     -1.5731302797  FREE
image016     -2.3456700381  FREE
image017     -2.6671089277  FREE
