# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0715185648  FREE
image003      0.2852174469  FREE
image004      0.8734650847  FREE
image005      1.5304939160  FREE
image006      2.1280758478  FREE
image007      2.5691019673  FREE
image008      2.7854233890  FREE
image009      2.7362284728  FREE
image010      2.4075902126  FREE
image011      1.8122238683  FREE
image012      0.9902652690  FREE
image013      0.0104910871  FREE
image014     -1.0281471326  FREE
image015     -1.9947903409  FREE
image016     -2.7249123114  FREE
image017     -3.0187305229  FREE
