# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.1033539805  FREE
image003      0.2253947656  FREE
image004      0.7958165508  FREE
image005      1.4467785625  FREE
image006      2.0464448633  FREE
image007      2.4922763906  FREE
image008      2.7110309570  FREE
image009      2.6587632500  FREE
image010      2.3208248320  FREE
image011      1.7118641406  FREE
image012      0.8758264883  FREE
image013     -0.1140459375  FREE
image014     -1.1552140742  FREE
image015     -2.1158419844  FREE
image016     -2.8347968555  FREE
image017     -3.1216490000  FREE
