# image  energy(eV)  status
image001      0.0000000000  FREE
image002     -0.0551616940  FREE
image003      0.3157714874  FREE
image004      0.9127475685  FREE
image005      1.5725311511  FREE
image006      2.1688764824  FREE
image007      2.6073984195  FREE
image008      2.8224721740  FREE
image009      2.7748073180  FREE
image010      2.4508104522  FREE
image011      1.8622446689  FREE
image012      1.0473616440  FREE
image013      0.0727019961  FREE
image014     -0.9646167524  FREE
image015     -1.9342829049  FREE
image016     -2.6700936465  FREE
image017     -2.9674857916  FREE
