# image  energy(eV)  status
image001      0.0000000000  FREE
image002      0.0719695712  FREE
image003      0.5414365217  FREE
image004      1.1963221983  FREE
image005      1.8701962913  FREE
image006      2.4542852349  FREE
image007      2.8733365975  FREE
image008      3.0790268077  FREE
image009      3.0418915669  FREE
image010      2.7502287804  FREE
image011      2.2094686785  FREE
image012      1.4450963115  FREE
image013      0.5078941342  FREE
image014     -0.5187987376  FREE
image015     -1.5099170574  FREE
image016     -2.2880920642  FREE
image017     -2.6127807327  FREE
